ID;Meal;Restaurant;Type;Cal;P;C;F;Like Trigger;Reg;Vegan;Veg;Breakfast;Lunch;Dinner;;;;;;;;;;;;
80;Teriyaki Salmon on Brown Rice;Abokado;Lunch / Dinner;577;24,6;94,2;13;1;1;1;1;-;1;1;;;;;;;;;;;;
81;Chicken Katsu on White Rice (sauce not included);Abokado;Lunch / Dinner;746;36,9;105,7;18,3;1;1;1;1;-;1;1;;;;;;;;;;;;
82;THIS Vegan Katsu Curry (sauce not included);Abokado;Lunch / Dinner;635;27,8;107,9;8,8;1;1;1;1;-;1;1;;;;;;;;;;;;
83;Sweet Chilli Chicken on White Rice;Abokado;Lunch / Dinner;737;32,5;121,5;12;1;1;1;1;-;1;1;;;;;;;;;;;;
84;Chicken Katsu Yakisoba (sauce not included);Abokado;Lunch / Dinner;793;38,2;95,5;28,7;1;1;1;1;-;1;1;;;;;;;;;;;;
85;Veggie Gyoza Yakisoba;Abokado;Lunch / Dinner;708;21,2;105,1;22,9;1;1;1;1;-;1;1;;;;;;;;;;;;
86;Teriyaki Chicken Yakisoba;Abokado;Lunch / Dinner;641;44,2;87,9;12,9;1;1;1;1;-;1;1;;;;;;;;;;;;
87;Curry Sauce (katsu);Abokado;Lunch / Dinner;103;1,4;4,7;8,8;1;1;1;1;-;1;1;;;;;;;;;;;;
88;Chumaki set;Abokado;Lunch / Dinner;497,4;16,8;67,3;18,1;1;1;1;1;-;1;1;;;;;;;;;;;;
89;Harmony set;Abokado;Lunch / Dinner;768,1;25,5;108,9;25,5;1;1;1;1;-;1;1;;;;;;;;;;;;
90;Mini hosomaki set;Abokado;Lunch / Dinner;433,8;15,9;66,8;11,3;1;1;1;1;-;1;1;;;;;;;;;;;;
91;Mixed maki set;Abokado;Lunch / Dinner;491,4;16,2;74,0;14,6;1;1;1;1;-;1;1;;;;;;;;;;;;
92;Rainbow set;Abokado;Lunch / Dinner;651,6;30,2;88,5;19,7;1;1;1;1;-;1;1;;;;;;;;;;;;
93;Salmon nigiri set;Abokado;Lunch / Dinner;357,6;16,3;52,8;8,9;1;1;1;1;-;1;1;;;;;;;;;;;;
94;Sashimi set;Abokado;Lunch / Dinner;161,7;23,8;4,0;5,6;1;1;1;1;-;1;1;;;;;;;;;;;;
95;Tokyo salmon set;Abokado;Lunch / Dinner;612,9;31,2;62,4;26,7;1;1;1;1;-;1;1;;;;;;;;;;;;
96;Mini Tokyo;Abokado;Lunch / Dinner;375,8;16,4;37,6;17,6;1;1;1;1;-;1;1;;;;;;;;;;;;
97;Osaka Set;Abokado;Lunch / Dinner;471,2;23,9;50,5;19,5;1;1;1;1;-;1;1;;;;;;;;;;;;
98;Wasabi Special Bento;Abokado;Lunch / Dinner;561,1;24,0;60,8;24,7;1;1;1;1;-;1;1;;;;;;;;;;;;
99;Yasai roll set;Abokado;Lunch / Dinner;494,5;8,5;91,9;10,3;1;1;1;1;-;1;1;;;;;;;;;;;;
100;Salmon teriyaki roll set;Abokado;Lunch / Dinner;410,4;12,7;65,3;9,2;1;1;1;1;-;1;1;;;;;;;;;;;;
101;Crispy ebi roll;Abokado;Lunch / Dinner;760,5;22,4;100,5;29,8;1;1;1;1;-;1;1;;;;;;;;;;;;
102;Chicken katsu roll set;Abokado;Lunch / Dinner;336,4;14,4;42,0;12,3;1;1;1;1;-;1;1;;;;;;;;;;;;
103;Veggie roll set;Abokado;Lunch / Dinner;238,7;5,9;38,5;6,8;1;1;1;1;-;1;1;;;;;;;;;;;;
104;Tofu pocket roll set;Abokado;Lunch / Dinner;143,2;3,5;21,6;4,7;1;1;1;1;-;1;1;;;;;;;;;;;;
105;Salmon Hosomaki Set;Abokado;Lunch / Dinner;259,2;10,1;34,4;9,0;1;1;1;1;-;1;1;;;;;;;;;;;;
106;Avocado hosomaki set;Abokado;Lunch / Dinner;262,4;5,3;35,6;11,1;1;1;1;1;-;1;1;;;;;;;;;;;;
107;Cucumber Hosomaki Set;Abokado;Lunch / Dinner;204,6;5,0;35,5;4,6;1;1;1;1;-;1;1;;;;;;;;;;;;
108;Spicy salmon roll;Abokado;Lunch / Dinner;374,9;17,6;41,8;15,3;1;1;1;1;-;1;1;;;;;;;;;;;;
109;Spicy yasai roll;Abokado;Lunch / Dinner;279,4;8,4;44,5;7,6;1;1;1;1;-;1;1;;;;;;;;;;;;
110;Kyoto set;Abokado;Lunch / Dinner;1090,3;41,7;129,9;45,1;1;1;1;1;-;1;1;;;;;;;;;;;;
111;Chumaki set;Abokado;Lunch / Dinner;476,1;17,6;58,5;19,2;1;1;1;1;-;1;1;;;;;;;;;;;;
112;Salmon nigiri set;Abokado;Lunch / Dinner;340,8;20,2;38,4;11,8;1;1;1;1;-;1;1;;;;;;;;;;;;
113;Rainbow set;Abokado;Lunch / Dinner;658,8;31,7;80,4;23,3;1;1;1;1;-;1;1;;;;;;;;;;;;
114;Yasai roll set;Abokado;Lunch / Dinner;457,6;11,8;74,9;12,5;1;1;1;1;-;1;1;;;;;;;;;;;;
115;Harmony set;Abokado;Lunch / Dinner;718,0;25,9;101,5;23,2;1;1;1;1;-;1;1;;;;;;;;;;;;
116;Chicken katsu Salad;Abokado;Lunch / Dinner;609,0;31,1;63,0;26,0;1;1;1;1;-;1;1;;;;;;;;;;;;
